lat,lon,noise_LAeq
45.4996,9.3165,40.36
45.4996,9.3165,39.52
45.4996,9.3165,40.06
45.4996,9.3165,39.67
45.4996,9.3165,40.23
45.4996,9.3165,40.64
45.4996,9.3165,39.73
45.4996,9.3165,39.26
45.4996,9.3165,40.17
45.4996,9.3165,39.91
45.4996,9.3165,39.98
45.4996,9.3165,40.31
45.4996,9.3165,40.24
45.4996,9.3165,40.49
45.4996,9.3165,40.28
45.4996,9.3165,40.19
45.4996,9.3165,40.18
45.4996,9.3165,39.76
45.4996,9.3165,40.59
45.4996,9.3165,39.83
45.4996,9.3165,39.42
45.4996,9.3165,39.73
45.4996,9.3165,40.72
45.4996,9.3165,40.12
45.4996,9.3165,40.24
45.4996,9.3165,39.91
45.4996,9.3165,40.64
45.4996,9.3165,39.7
45.4996,9.3165,40.3
45.4996,9.3165,40.47
45.4996,9.3165,40.21
45.4996,9.3165,40.24
45.4996,9.3165,40.86
45.4996,9.3165,39.84
45.4996,9.3165,40.17
45.4996,9.3165,40.28
45.4996,9.3165,40.01
45.4996,9.3165,39.83
45.4996,9.3165,40.27
45.4996,9.3165,39.88
45.4996,9.3165,40.04
45.4996,9.3165,40.31
45.4996,9.3165,39.78
45.4996,9.3165,40.19
45.4996,9.3165,40.19
45.4996,9.3165,40.47
45.4996,9.3165,39.94
45.4996,9.3165,40.63
45.4996,9.3165,40.7
45.4996,9.3165,40.4
45.4996,9.3165,40.92
45.4996,9.3165,40.42
45.4996,9.3165,41.4
45.4996,9.3165,40.79
45.4996,9.3165,41.16
45.4996,9.3165,41.14
45.4996,9.3165,41.28
45.4996,9.3165,41.52
45.4996,9.3165,41.38
45.4996,9.3165,43.43
45.4996,9.3165,47.81
45.4996,9.3165,47.09
45.4996,9.3165,48.64
45.4996,9.3165,41.76
45.4996,9.3165,41.84
45.4996,9.3165,41.74
45.4996,9.3165,41.85
45.4996,9.3165,41.61
45.4996,9.3165,42.23
45.4996,9.3165,41.28
45.4996,9.3165,42.52
45.4996,9.3165,42.06
45.4996,9.3165,44.02
45.4996,9.3165,42.7
45.4996,9.3165,43.28
45.4996,9.3165,43.62
45.4996,9.3165,43.11
45.4996,9.3165,42.81
45.4996,9.3165,42.25
45.4996,9.3165,42.91
45.4996,9.3165,42.8
45.4996,9.3165,43.15
45.4996,9.3165,42.97
45.4996,9.3165,43.09
45.4996,9.3165,43.14
45.4996,9.3165,46.09
45.4996,9.3165,42.78
45.4996,9.3165,43.02
45.4996,9.3165,43.63
45.4996,9.3165,44.15
45.4996,9.3165,44
45.4996,9.3165,44.64
45.4996,9.3165,46.39
45.4996,9.3165,45.51
45.4996,9.3165,44.72
45.4996,9.3165,45.44
45.4996,9.3165,44.98
45.4996,9.3165,45.79
45.4996,9.3165,45.55
45.4996,9.3165,44.57
45.4996,9.3165,45.99
45.4996,9.3165,46.34
45.4996,9.3165,51.54
45.4996,9.3165,46.46
45.4996,9.3165,46.73
45.4996,9.3165,47.67
45.4996,9.3165,47.41
45.4996,9.3165,46.6
45.4996,9.3165,48.96
45.4996,9.3165,47.76
45.4996,9.3165,46.72
45.4996,9.3165,45.36
45.4996,9.3165,45.73
45.4996,9.3165,46.92
45.4996,9.3165,44.92
45.4996,9.3165,45.32
45.4996,9.3165,47.39
45.4996,9.3165,46.21
45.4996,9.3165,47.39
45.4996,9.3165,47.11
45.4996,9.3165,48.3
45.4996,9.3165,44.81
45.4996,9.3165,44.89
45.4996,9.3165,43.89
45.4996,9.3165,44.04
45.4996,9.3165,44.42
45.4996,9.3165,44.02
45.4996,9.3165,44.61
45.4996,9.3165,48.8
45.4996,9.3165,46.29
45.4996,9.3165,43.56
45.4996,9.3165,45.32
45.4996,9.3165,45.35
45.4996,9.3165,48.51
45.4996,9.3165,52.64
45.4996,9.3165,45.16
45.4996,9.3165,48.95
45.4996,9.3165,46.01
45.4996,9.3165,47.63
45.4996,9.3165,46.09
45.4996,9.3165,44.17
45.4996,9.3165,45.22
45.4996,9.3165,48.82
45.4996,9.3165,47.98
45.4996,9.3165,46.96
45.4996,9.3165,47.11
45.4996,9.3165,46.27
45.4996,9.3165,46.21
45.4996,9.3165,45.15
45.4996,9.3165,43.6
45.4996,9.3165,44.33
45.4996,9.3165,44.48
45.4996,9.3165,43.22
45.4996,9.3165,43.77
45.4996,9.3165,44
45.4996,9.3165,44.78
45.4996,9.3165,44.81
45.4996,9.3165,43.98
45.4996,9.3165,44.18
45.4996,9.3165,45.16
45.4996,9.3165,46.49
45.4996,9.3165,47.31
45.4996,9.3165,43.67
45.4996,9.3165,42.39
45.4996,9.3165,46.27
45.4996,9.3165,41.8
45.4996,9.3165,42.78
45.4996,9.3165,42.47
45.4996,9.3165,42.76
45.4996,9.3165,44.56
45.4996,9.3165,42.94
45.4996,9.3165,43.75
45.4996,9.3165,47.13
45.4996,9.3165,45.18
45.4996,9.3165,43.5
45.4996,9.3165,44.29
45.4996,9.3165,44.61
45.4996,9.3165,43.69
45.4996,9.3165,52.54
45.4996,9.3165,43.92
45.4996,9.3165,43.83
45.4996,9.3165,43.93
45.4996,9.3165,45.05
45.4996,9.3165,46.44
45.4996,9.3165,43.46
45.4996,9.3165,43.96
45.4996,9.3165,44.1
45.4996,9.3165,44.3
45.4996,9.3165,43.08
45.4996,9.3165,45.78
45.4996,9.3165,44.21
45.4996,9.3165,44.76
45.4996,9.3165,44.14
45.4996,9.3165,44.29
45.4996,9.3165,43.96
45.4996,9.3165,45.65
45.4996,9.3165,47.81
45.4996,9.3165,48.35
45.4996,9.3165,47.63
45.4996,9.3165,44.19
45.4996,9.3165,46.7
45.4996,9.3165,43.78
45.4996,9.3165,44.51
45.4996,9.3165,44.58
45.4996,9.3165,45.61
45.4996,9.3165,44.5
45.4996,9.3165,44.06
45.4996,9.3165,44.44
45.4996,9.3165,44.78
45.4996,9.3165,43.71
45.4996,9.3165,43.62
45.4996,9.3165,44.41
45.4996,9.3165,44.78
45.4996,9.3165,45.13
45.4996,9.3165,46.21
45.4996,9.3165,45.64
45.4996,9.3165,52.58
45.4996,9.3165,46.58
45.4996,9.3165,44.22
45.4996,9.3165,45.84
45.4996,9.3165,43.74
45.4996,9.3165,44.96
45.4996,9.3165,44.79
45.4996,9.3165,44.45
45.4996,9.3165,43.97
45.4996,9.3165,44.23
45.4996,9.3165,45.89
45.4996,9.3165,44.01
45.4996,9.3165,44.6
45.4996,9.3165,46.31
45.4996,9.3165,48.06
45.4996,9.3165,44.46
45.4996,9.3165,42.98
45.4996,9.3165,45.82
45.4996,9.3165,45.5
45.4996,9.3165,44.79
45.4996,9.3165,49.09
45.4996,9.3165,45.87
45.4996,9.3165,45.48
45.4996,9.3165,46.98
45.4996,9.3165,48.07
45.4996,9.3165,47.63
45.4996,9.3165,45.77
45.4996,9.3165,45.79
45.4996,9.3165,45.53
45.4996,9.3165,49.08
45.4996,9.3165,47.95
45.4996,9.3165,46.5
45.4996,9.3165,48.08
45.4996,9.3165,46.81
45.4996,9.3165,46.11
45.4996,9.3165,46.43
45.4996,9.3165,45.87
45.4996,9.3165,48.98
45.4996,9.3165,46.32
45.4996,9.3165,44.98
45.4996,9.3165,47.73
45.4996,9.3165,46.77
45.4996,9.3165,44.84
45.4996,9.3165,45.99
45.4996,9.3165,45.91
45.4996,9.3165,45.15
45.4996,9.3165,43.93
45.4996,9.3165,44.79
45.4996,9.3165,46.64
45.4996,9.3165,50.8
45.4996,9.3165,46.22
45.4996,9.3165,48.37
45.4996,9.3165,49.61
45.4996,9.3165,45.15
45.4996,9.3165,45.84
45.4996,9.3165,47.34
45.4996,9.3165,46.61
45.4996,9.3165,44.65
45.4996,9.3165,44.13
45.4996,9.3165,45.13
45.4996,9.3165,45.95
45.4996,9.3165,45.47
45.4996,9.3165,45.76
45.4996,9.3165,46.3
45.4996,9.3165,46.22
45.4996,9.3165,45.76
45.4996,9.3165,48.37
45.4996,9.3165,47.33
45.4996,9.3165,49.64
45.4996,9.3165,50.92
45.4996,9.3165,50.07
45.4996,9.3165,50.36
45.4996,9.3165,48.97
45.4996,9.3165,47.76
45.4996,9.3165,46.88
45.4996,9.3165,46.87
45.4996,9.3165,45.6
45.4996,9.3165,44.37
45.4996,9.3165,45.02
45.4996,9.3165,44.66
45.4996,9.3165,46.79
45.4996,9.3165,46.48
45.4996,9.3165,44.64
45.4996,9.3165,43.96
45.4996,9.3165,42.99
45.4996,9.3165,45.33
45.4996,9.3165,45.37
45.4996,9.3165,46.27
45.4996,9.3165,44.49
45.4996,9.3165,48.57
45.4996,9.3165,45.49
45.4996,9.3165,44.36
45.4996,9.3165,44.21
45.4996,9.3165,49.35
45.4996,9.3165,47.96
45.4996,9.3165,48.64
45.4996,9.3165,44.42
45.4996,9.3165,45.42
45.4996,9.3165,45.54
45.4996,9.3165,44.11
45.4996,9.3165,46.78
45.4996,9.3165,48.95
45.4996,9.3165,50.13
45.4996,9.3165,49.91
45.4996,9.3165,48
45.4996,9.3165,47.29
45.4996,9.3165,51.34
