index,name,latitude,longitude,region
127,POGGIO NATIVO,42.22,12.8,Lazio
241,VILLAPIANA,39.85,16.45,Calabria
352,FONDO,46.43,11.13,Trentino-Alto Adige/Südtirol
355,FONDI,41.35,13.42,Lazio
430,FALIESI,40.88,14.77,Campania
459,SAN SEVERINO (CENTOLA),40.09,15.35,Campania
496,SERRA SAN BRUNO,38.58,16.33,Calabria
594,CHIOMONTE RAILWAY STATION,45.12,6.99,Piemonte
607,RAIANO RAILWAY STATION,42.1,13.81,Abruzzo
618,MACCAGNO CON PINO E VEDDASCA,46.05,8.73,Lombardia
638,AEOLIAN ISLANDS,38.53,14.9,Sicilia
642,BOLLATE NORD RAILWAY STATION,45.55,9.11,Lombardia
724,FUMONE,41.73,13.28,Lazio
834,CONCARENA,46.01,10.28,Lombardia
894,MONTALCINO,43.05,11.48,Toscana
959,PRATIGLIONE,45.35,7.6,Piemonte
1035,ASTI RAILWAY STATION,44.9,8.21,Piemonte
1066,MILANO CERTOSA RAILWAY STATION,45.51,9.14,Lombardia
1104,CAPECE RAILWAY STATION,40.59,17.57,Puglia
1111,FERRERE,44.88,8.0,Piemonte
1147,MOMBAROCCIO,43.8,12.85,Marche
1152,UZZANO,43.88,10.72,Toscana
1198,SAN GIOVANNI IN CROCE,45.08,10.37,Lombardia
1200,"FALCONE, SICILY",38.12,15.08,Sicilia
1222,SERRUNGARINA,43.75,12.87,Marche
1526,COPERTINO,40.27,18.05,Puglia
1564,GALLINARO,41.67,13.8,Lazio
1582,VENTOTENE,40.8,13.43,Lazio
1584,FRAGAGNANO,40.43,17.47,Puglia
1612,TRECASALI,44.93,10.27,Emilia-Romagna
1647,"BORGIA, CALABRIA",38.83,16.5,Calabria
1666,BITETTO,41.03,16.75,Puglia
1682,POGGIO SAN LORENZO,42.25,12.85,Lazio
1709,BALVANO,40.65,15.52,Basilicata
1760,VOLONGO,45.22,10.3,Lombardia
1820,BARONE CANAVESE,45.33,7.87,Piemonte
1971,RUFFIA,44.7,7.6,Piemonte
2095,"DONATO, PIEDMONT",45.53,7.87,Piemonte
2097,TORREGROTTA,38.2,15.35,Sicilia
2133,BUCINE,43.48,11.62,Toscana
2151,MONTE MOLARO,40.4,15.03,Campania
2185,GALLICCHIO,40.28,16.13,Basilicata
2217,FOLIGNO AIRPORT,42.93,12.71,Umbria
2226,LAVIANO,40.78,15.3,Campania
2303,ROCCHETTA A VOLTURNO,41.62,14.08,Molise
2306,VECCHIANO,43.78,10.38,Toscana
2311,CINQUEFRONDI,38.42,16.1,Calabria
2328,"CECINA, TUSCANY",43.32,10.52,Toscana
2332,VOLTERRA,43.4,10.87,Toscana
2366,CARAFFA DEL BIANCO,38.1,16.08,Calabria
