index,name,latitude,longitude,region
1612,TRECASALI,44.93,10.27,Emilia-Romagna
4809,PARMA RAILWAY STATION,44.81,10.33,Emilia-Romagna
5448,SASSO MARCONI,44.4,11.25,Emilia-Romagna
5828,CAMUGNANO,44.17,11.1,Emilia-Romagna
5981,RIOLO TERME,44.28,11.73,Emilia-Romagna
6393,FONTANELLATO,44.88,10.18,Emilia-Romagna
7566,MORFASSO,44.72,9.7,Emilia-Romagna
8933,SAN LAZZARO DI SAVENA,44.47,11.41,Emilia-Romagna
10286,MONTE CIMONE,44.19,10.7,Emilia-Romagna
398595,CESATE,45.6,9.08,Lombardia
398833,FALOPPIO,45.82,8.97,Lombardia
399202,AIRUNO,45.75,9.42,Lombardia
399515,INTROZZO,46.08,9.33,Lombardia
399702,PADERNO D'ADDA,45.68,9.45,Lombardia
399779,VESTRENO,46.08,9.32,Lombardia
594,CHIOMONTE RAILWAY STATION,45.12,6.99,Piemonte
959,PRATIGLIONE,45.35,7.6,Piemonte
1035,ASTI RAILWAY STATION,44.9,8.21,Piemonte
1820,BARONE CANAVESE,45.33,7.87,Piemonte
1971,RUFFIA,44.7,7.6,Piemonte
2095,"DONATO, PIEDMONT",45.53,7.87,Piemonte
3443,OGGEBBIO,45.98,8.65,Piemonte
3634,MONCALIERI,45.0,7.68,Piemonte
3638,GRAVELLONA TOCE,45.93,8.43,Piemonte
8107,RIVARONE,44.98,8.72,Piemonte
8356,CARPIGNANO SESIA RAILWAY STATION,45.53,8.42,Piemonte
10992,AMBIN GROUP,45.14,6.83,Piemonte
11025,"CAMINO, PIEDMONT",45.17,8.28,Piemonte
11052,POZZOLO FORMIGARO,44.8,8.78,Piemonte
